review,aspects,response
ALHAMDULILLAH ONEK VALO APPS TI,"[{'aspect': 'APPS', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt praise—Al‑ḥamdu lillāh that the app is serving you well. Your kind words encourage us to keep striving in our Khidmah to the Ummah, and we are grateful that the resources have become a blessing in your daily Ibadah.  

If you wish to deepen your experience, you might explore the Quran Planner to set personalized reading goals, try different reciters in the audio section, or use the search and topic tools for further study. Should you have any ideas for new features or encounter any issue, please submit them at feedback.gtaf.org so we can continue to improve. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
Absolutely the best Quran app so far.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with our app; it heartens us to hear that you consider it “the best Quran app so far.” Your kind words inspire us to keep serving the Ummah with tools that bring us closer to the Qur’ān and its beautiful recitations.  

If you have any ideas for new features—perhaps additional languages, more reciters, or enhancements to the Planner—please let us know by submitting your thoughts at feedback.gtaf.org so we can continue to improve. May Allah accept your good intentions, increase you in knowledge, and keep you steadfast on the path of ibādah. BarakAllahu feekum."
Assalamu alaikum May Allah bless those behind this amazing app. Everything is fine Ma Shaa Allah. But please try to fix the errors in the duaa section. Then it can be absolutely perfect for Bangali Muslims.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your kind words and for the sincere dua for our team. We are grateful to hear that you find the app amazing, and we appreciate your helpful suggestion to review the duʿā’ section so that Bengali users may benefit from flawless text. Your concern is heard, and we understand how important accurate duʿā’ are for proper ibādah.

To help us address the issue, please ensure your app is updated to the latest version, as we regularly release fixes. If you notice specific duʿā’ that contain translation or wording errors, kindly note the titles and send them to us through the feedback form at feedback.gtaf.org or via the “Report a Problem” option in the app. Our team will review the details and work on corrections in upcoming updates, Insha Allah. May Allah accept our efforts in serving the Ummah and bless you for your patience and support. BarakAllahu feekum."
This is the best Qur'an app I've seen so far.... Wallah,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words—Alhamdulillah, hearing that you consider this the best Qur’an app brings great joy to our team, and we are humbled by your blessing, Wallah.

To deepen your experience, you might try the following steps: 1) Open the side‑menu and tap **Audio** to select a beloved reciter such as Mishary Al‑Afasy or Husary for beautiful recitations; 2) Use the **Qur’an Planner** to set a daily reading goal that fits your schedule, enabling reminders to keep you consistent; 3) Explore the **Library** to bookmark ayahs, add notes, or join the **Explore by Topic** section for deeper study. These tools are designed to serve the Ummah by facilitating easy, rewarding ibādah and knowledge. Should you have any further ideas or need assistance, please submit them at feedback.gtaf.org. May Allah accept your worship and keep you steadfast on the Qur’an. BarakAllahu feekum."
The app is good easy to use for everyone.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are delighted to hear that you find it easy to use and helpful for everyone. Your appreciation encourages us to continue serving the Ummah with a user‑friendly platform that brings the Qur’an and its knowledge closer to hearts.  

If you have any ideas for new features or wish to explore more tools—such as the Quran Planner, audio recitations, or topic searches—we invite you to try them and let us know your thoughts at feedback.gtaf.org. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
The best Qur'an app I ever used It was very satisfied as you can learn different recitation technique from different Qurra,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; we are delighted to hear that the app has helped you learn different recitation techniques from the esteemed Qurra. Your satisfaction encourages us to continue serving the Ummah by providing high‑quality Qur’an resources.

If you wish to deepen your practice, you may try the repeat option for the verses you are mastering, download your favorite reciters for offline listening, or explore the Mushaf mode for a traditional layout while you study. Should you have any ideas for new features or further improvements, please submit them at feedback.gtaf.org so we can serve you better. May Allah accept your efforts and bless your journey with the Qur’an. BarakAllahu feekum."
Best App for reading and memorizing the Qur'an with tajwed and tafsir. It is Amazing App. JazakumAllahu khairan.,"[{'aspect': 'App', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; we are delighted to hear that you find it “Amazing” for reading, memorizing, and benefiting from the Tajwīd and Tafsīr. Your kind words encourage us to continue serving the Ummah with a tool that brings us closer to the Qur’an.

To make the most of the app, you may explore the over 50 reciters—such as Mishary Al‑Afasy, Husary, and Abdul Basit—for Tajwīd practice, download any audio or translation for offline use, and customize the Mushaf font and size to suit your eyes. The memorization planner tracks your progress and celebrates milestones, helping you stay consistent in your Hifz journey. Should you have any further suggestions or need assistance, please submit them at feedback.gtaf.org. May Allah accept your ibādah and increase you in knowledge. BarakAllahu feekum."
The best apps. Recommended to have it,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and recommending the app to others. It warms our hearts to hear that you find it among the best, and we are grateful to Allah for enabling us to serve the Ummah through this platform.  

If you have a moment, we invite you to explore some of the features that many users find especially helpful—such as the Quran Planner for daily reading schedules, the rich collection of recitations and translations, and the badge system that celebrates your progress. Simply tap the menu icon at the top‑right corner, choose “Planner” or “Audio” to set your preferred reciter, and let the app accompany you in your ibadah. Should you ever have suggestions or encounter any issue, please submit them at feedback.gtaf.org so we can continue to improve this service for the community.  

May Allah accept your good deeds and increase you in knowledge and reward. BarakAllahu feekum."
The most amazing app i have ever found. Reminds me in quranic ayahs everyday with tafsir,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience; we are delighted to hear that the daily Qur’anic ayah reminders with tafsīr are blessing your heart and strengthening your ibādah. Your kind words encourage us to continue serving the Ummah with sincere khidmah and to keep enhancing the app’s ability to bring the Qur’an closer to every believer.

If you wish to personalize your reminders further, you can open the **Settings → Notifications** menu, choose your preferred time of day, and select whether to include audio recitations alongside the tafsīr. You may also explore the **Library** to add favorite ayahs to collections or enable the **Qur’an Planner** for a structured reading schedule. For any suggestions or detailed feedback, please submit them at feedback.gtaf.org so we can consider them in future updates. May Allah accept from you and us. BarakAllahu feekum."
"Best app for Qur'an- can read in different fonts/texts. East to Navigate. Love the root word feature which comes in handy for students. Can also change the theme. The streak idea is amazing. Good Stuff, Keep it up!","[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'theme', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app. It warms our hearts to hear that the variety of fonts, the root‑word tool, the customizable theme, and the streak feature are helping you engage with the Qur’an more easily and joyfully. Your kind words encourage us to continue serving the Ummah with tools that make the remembrance of Allah pleasant and accessible.  

If you wish to explore even more themes or fine‑tune the root‑word feature, you can tap the **Settings** icon, select **Appearance**, and choose a new color palette or font size that suits your eyes. For any ideas on additional features or improvements, please submit them at **feedback.gtaf.org** so we can consider them in future updates. May Allah accept your sincere study and grant you steadfastness in your daily Qur’an habit. BarakAllahu feekum."
Alhamdulillah ..Very Nice Apps...,"[{'aspect': 'Apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are grateful to hear that you find it very nice and that it serves you well. Your appreciation encourages us to continue offering a reliable tool for the Ummah to engage with the Qur’an and its beautiful teachings.

If you have a moment, we invite you to explore additional features such as the Quran Planner for daily reading goals, the diverse audio recitations, or the topic‑explorer to deepen your understanding. Should you ever have suggestions or encounter any issue, please feel free to submit feedback at feedback.gtaf.org so we can keep improving the service for all believers. May Allah accept your good deeds and bless you abundantly. BarakAllahu feekum."
MashAllah Very Amazing app. Very helpful. Very easy to use Very informative May Allah accept your struggle,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑hamdulillah that you find the app amazing, helpful, easy to use, and informative. Your kind words encourage us to continue serving the Ummah with tools that bring us closer to the Qur’an and the Sunnah.

If you wish to explore even more blessings, you may:
1. Open the app’s **Qur’an Planner** to set a personalized reading schedule;  
2. Tap the **Audio** section to listen to your favorite reciter or an English translation while you reflect;  
3. Visit **Explore by Topic** to discover deeper knowledge on specific subjects. Should you have any ideas for new features, please submit them at feedback.gtaf.org so we can keep improving for everyone. May Allah accept our efforts and grant you continued benefit. BarakAllahu feekum."
"Fantastic app, very comprehensive knowledge source. Keep it up.","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; we are delighted to hear that you find it a comprehensive source of knowledge and that it serves you well in your studies. Your kind words encourage us to keep striving to provide valuable resources for the Ummah.

If you have any specific features you enjoy most or topics you’d like to explore further, please let us know by submitting your thoughts at feedback.gtaf.org so we can continue to enhance the app for all believers. May Allah accept your efforts and increase you in beneficial knowledge. BarakAllahu feekum."
I love this app it's easy to use it,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it warms our hearts to hear that you find it easy to use and helpful in your daily Ibadah. Your satisfaction encourages us to keep serving the Ummah with humility and sincerity.  

To deepen your experience, you might try the Quran Planner to set a personalized reading schedule, explore the diverse reciters in the Audio section, or use the Search and Topic tools to discover verses that relate to your life. Simply tap the menu icon, select “Planner” to create a plan, or choose “Audio” to pick a reciter you prefer; the app will guide you step‑by‑step. If you have any ideas for new features or wish to share more feedback, please submit them at feedback.gtaf.org so we can continue improving the service.  

May Allah accept your good deeds and grant you ease in your Qur’an study. BarakAllahu feekum."
May Allah swt accept your sacrifice and great job.,"[{'aspect': 'Allah swt', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and for praying that Allah SWT accepts the effort put into this app; your encouragement truly uplifts us and reaffirms our intention to serve the Ummah with beneficial tools.  

To continue benefiting from the features you enjoy—such as the extensive recitations, Quran planner, and study resources—simply keep exploring the app’s sections and feel free to set personalized reading goals that fit your schedule. If you have any suggestions or encounter anything you wish to improve, please let us know at feedback.gtaf.org so we can keep enhancing the experience for all believers. May Allah accept our deeds and increase us in His pleasure. BarakAllahu feekum."
Salam to ALL! The best Quran app full of knowledge and ease. Recommended for all Muslim ummah. Please do add more features. Thanks,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and recommending the app to the Ummah. We are delighted to hear that you find the Quran app full of knowledge and ease, and we pray that it continues to bring you barakah in your ibādah.  

If you have specific features or enhancements in mind, please let us know by submitting your suggestions at **feedback.gtaf.org**. Simply describe the desired addition, and our team will review it as we plan future updates such as more audio translations and expanded study tools. Your input helps us serve the Muslim community better and fulfill the noble purpose of facilitating deeper connection with the Qur’an.  

May Allah accept our efforts and grant you continued success in His Book. BarakAllahu feekum."
Daily Notification doesn't take you to the exact place plz fix it otherwise everything is Alhamdulliah,"[{'aspect': 'Notification', 'polarity': 'Negative'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your experience; we are grateful to hear that, Alhamdulillah, you find the app beneficial overall. We understand the frustration when the daily notification does not open the exact page you expect, and we appreciate your patience in bringing this to our attention.  

To help resolve the issue, please try the following:  
1. Open the app’s Settings → Notifications and verify that “Daily Reminder” is enabled and set to open the desired section (e.g., Quran Planner or specific Surah).  
2. Ensure you are using the latest version of the app; you can check for updates in the Play Store/App Store.  
3. If the problem persists, clear the app’s cache (Android: Settings → Apps → Al Quran → Storage → Clear Cache; iOS: reinstall the app).  
4. Should the notification still lead elsewhere, kindly submit detailed information (device model, OS version, and the screen you wish it to open) at **feedback.gtaf.org** so our team can investigate further.  

Your feedback aids us in serving the Ummah better, helping believers stay on track with their daily Ibadah. May Allah accept our efforts and bless your continued use of the app. BarakAllahu feekum, and may Allah accept from you and us."
"I'm speakless... Subhanallah, this app perfect, the best of the best that I've ever had, and seen. Allah bless you... thanks a lot!!","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; your words “Subhanallah, this app perfect” truly warm our hearts. We are grateful to Allah for enabling us to serve the Ummah, and we rejoice that the features have brought you ease and blessings in your worship.

If you wish to deepen your connection further, you may try the Quran Planner to set personalized reading goals, or explore the diverse recitations and translations available in the Library section. Should you ever have ideas for new content or encounter any issue, please let us know at feedback.gtaf.org so we can continue to improve. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
Maa shaa Allah The App is great,"[{'aspect': 'App', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your wonderful feedback—Masha’Allah, it truly lifts our hearts to hear that you find the app great. Your appreciation encourages us to keep serving the Ummah with tools that bring us closer to the Qur’an and to Allah’s mercy.  

We invite you to continue exploring the features that enrich your ibadah, such as the Quran Planner for daily reading, the vast collection of recitations, and the topic‑explorer for deeper study. Should you have any ideas for improvement or encounter any issue, please let us know at feedback.gtaf.org so we can serve you better. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
A very nice easy to use app...,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; we are truly grateful to hear that you find it very nice and easy to use. Your appreciation encourages us to continue serving the Ummah with tools that make the Qur’an and its teachings more accessible.

If you have any ideas for additional features or content you’d like to see, please feel free to let us know by submitting your feedback at feedback.gtaf.org so we can consider it in future updates. May Allah accept our efforts and bless you in your continued journey with the Qur’an. BarakAllahu feekum."
This is the best Qur'anic app i ever seen in my life. Jazakumullahu Khairan,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair an kum li taqdeer kum wa li‑kalam kum al‑ṭayyib; we are deeply grateful that you consider our app the best Qur’an resource you have encountered. Your kind words encourage us to continue serving the Ummah with humility and dedication.

To enrich your experience even further, we invite you to explore the Quran Planner to set personalized reading goals, try the diverse reciters and audio translations, or use the word‑by‑word tools for deeper study—each feature is designed to help you connect more closely with the Qur’an. Should you have any suggestions or encounter any issue, please share them at feedback.gtaf.org so we can keep improving this service for all believers. May Allah accept our efforts and bless you with continued benefit from the Qur’an. BarakAllahu feekum."
An app doesn't get any better than this according to me! Jazakallah,"[{'aspect': 'app', 'polarity': 'Negative'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app; it brings us great joy to hear that you find it exemplary and that it serves you well in your Qur’anic journey. Your appreciation encourages us to continue offering a reliable tool for the Ummah to connect with the Qur’an and deepen their ibādah.  

If ever you encounter any difficulty, have a suggestion for a new feature, or simply wish to share further feedback, please let us know by submitting it at **feedback.gtaf.org** so we can track and address it promptly. May Allah accept your good deeds, keep your heart attached to His Book, and bless you with continued benefit from this service. BarakAllahu feekum."
"Alhamdulillah, an extremely helpful app for recitation and learning Quran.","[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'Quran', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt experience; we are delighted to hear that the app serves as an “extremely helpful” companion in your recitation and learning of the Qur’an. Al‑hamdulillāh, your satisfaction encourages us to continue serving the Ummah with sincere Khidmah and humility.

If you wish to deepen your journey, you may explore additional features such as selecting different renowned reciters, using the Quran Planner to set daily reading goals, or enabling the repeat mode for tajwīd practice—each step is just a tap in the app’s menu. Should you have ideas for new tools or encounter any issue, please submit your feedback at feedback.gtaf.org so we can consider it for future improvements. May Allah accept your efforts and bless your study of His Book. BarakAllahu feekum."
It's helpful alhamdullah.mayAllah bless all of the entire team.,"[{'aspect': 'team', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words and for blessing the entire team; al‑hamdulillah that you find the app helpful, and may Allah increase us all in service to the Ummah.

To keep benefiting from the app, you may:  
1️⃣ Continue your daily Qur’an reading or listening using the Planner or Mushaf mode.  
2️⃣ Explore additional reciters, translations, and the search tools to deepen your understanding.  
3️⃣ If you have any ideas or encounter anything you wish to improve, kindly submit them at feedback.gtaf.org so we can serve you better.  

May Allah accept your du‘ā and your good deeds, and may He bless your continued journey with the Qur’an. BarakAllahu feekum."
"May Allah reward you, the quality of this app is superior and outstanding for this category. Keep pushing!","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your kind words; we are humbled by your praise and pray that Allah rewards you abundantly for your encouragement. Your appreciation of the app’s quality inspires us to continue serving the Ummah with dedication and sincerity.

We invite you to explore more of the features—such as the Quran Planner, Mushaf mode, and the extensive library of recitations and tafsirs—to deepen your daily ibādah, and to share the app with family and friends so they too may benefit. Should you have any ideas for new functionalities or wish to provide further feedback, please submit them at feedback.gtaf.org. May Allah accept our efforts and grant you continued blessings. BarakAllahu feekum."
Alhamdulilah i think this is one of the best apps ever i use. Ja jak allah khairan,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair an ka / ki for sharing such a heartfelt praise; al‑hamdu lillāh that the app serves you well and brings you blessings. Your kind words encourage us to keep striving in our service to the Ummah, making it easier for believers to connect with the Qur’ān and its beautiful recitations.  

If you have a moment, we would love for you to explore more features—such as the Quran Planner, Mushaf mode, or the extensive library of tafsīr and audio translations—to deepen your daily ibādah. Feel free to share any ideas or further feedback at feedback.gtaf.org so we can continue to improve this tool for all. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
Wonderfull. Concised and easy language. So engaging. Thans a lot for such wonderful apps. All praised to Allah.,"[{'aspect': 'language', 'polarity': 'Positive'}, {'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for taking the time to share your wonderful experience; your praise of the concise and engaging language truly warms our hearts. We are delighted to hear that the app serves you well in your daily remembrance of Allah, and we thank Allah for enabling us to provide a tool that benefits the Ummah.

To keep benefiting from the app’s features, we recommend exploring the **Quran Planner** to set personalized reading goals, trying the **audio recitations** of different Qaris for deeper connection, and using the **search & topic explorer** to discover new lessons. If you have any ideas for additional subjects, tools such as quizzes, or wish to share more feedback, please submit them at **feedback.gtaf.org** so we can continue to improve this service for all believers. May Allah accept your good deeds and increase you in knowledge. BarakAllahu feekum."
Alhamdulillah very good islamic app,"[{'aspect': 'app', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app. Alhamdulillah, we are pleased to hear that you find it beneficial, and we pray that it continues to be a source of barakah in your daily ibādah.

If there are any features you would like to see added or any suggestions to make your experience even better, please feel free to submit them at feedback.gtaf.org so we can serve the Ummah more effectively. May Allah accept our efforts and grant you ease in your worship. BarakAllahu feekum."
Hands down best Quran app I've ever used.,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that you consider this the “best Quran app” truly brightens our hearts and encourages us to keep serving the Ummah with humility and sincerity. Your kind words inspire us to continue providing a reliable, blessed tool for Qur’anic recitation, study, and reflection.  

To deepen your connection even further, we invite you to explore the Quran Planner to set personalized reading goals, try the Mushaf Mode for a classic page‑layout experience, or experiment with different reciters and audio translations available in the app. If you have any ideas for new features or wish to share more feedback, please submit them at feedback.gtaf.org so we can consider them in future updates. May Allah accept our efforts and grant you continuous ease in your ibādah. BarakAllahu feekum."
"Amazing, interactive and no glitches so far. Subhan Allah may the creator of the app be rewarded.","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; Al‑hamdulillah that you find it interactive, smooth, and beneficial. Your kind words inspire us to keep serving the Ummah with tools that bring us closer to the Qur’an and to Allah’s pleasure.  

If you wish to explore even more of what the app offers—such as the Quran Planner, Mushaf mode, or the extensive library of recitations and translations—simply tap the menu icon and select the feature you’d like to try. Should you have any ideas for new tools or wish to report any future concerns, please send them to feedback.gtaf.org so we can continue improving the service for all believers. May Allah accept your good deeds and bless you abundantly. BarakAllahu feekum."
This is awesome al quran but did not have sound to react it,"[{'aspect': 'al quran', 'polarity': 'Positive'}, {'aspect': 'sound', 'polarity': 'Neutral'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your experience and for loving the Al‑Qur’an feature of our app. I’m sorry to hear that you are unable to hear the recitation, and I understand how important the beautiful sound of the Qur’an is for your worship.

Please try the following steps:  
1️⃣ Open the app’s Settings and ensure the **Audio** option is turned on.  
2️⃣ Verify that your device’s media volume is raised and not muted.  
3️⃣ If you are streaming, make sure you have an active internet connection; for offline use, tap the download icon beside the desired Surah or Reciter.  
4️⃣ Select a reciter (e.g., Mishary Al‑Afasy, Husary) and tap the play button on the verse or Surah.  

If the sound still does not play, kindly submit the details at **feedback.gtaf.org** so we can investigate further. Your feedback helps us serve the Ummah better, enabling all believers to connect with the Qur’an through both reading and listening. May Allah accept our efforts and grant you ease in your ibādah. BarakAllahu feek."
ITS VERYYY USEFULL QUARAN I VERY LIKE IT BECAUSE I CAN UNDERSTAND ALL THE MEANING M Y LANGUAGE IS FILIPINO THIS QURAN IS THE ONLY BEST . 😍😍😍😍😍😍😍,"[{'aspect': 'QURAN', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—Al‑hamdulillah that the Filipino translation helps you understand the Qur’an’s beautiful meanings and that you find the app the “only best.” Your heartfelt appreciation truly encourages us to continue serving the Ummah with quality tools for Ibadah.

If you wish to deepen your connection further, you may explore the audio recitations (including upcoming Filipino translations), use the Quran Planner to set daily reading goals, or bookmark verses for personal reflection. Should you have any ideas for additional features or more Filipino resources, please submit them at feedback.gtaf.org so we can consider them. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
One of the best apps ever! So glad!,"[{'aspect': 'apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience—knowing that you consider the app “one of the best” truly brightens our hearts and encourages us to continue serving the Ummah with sincere khidmah.

We invite you to explore more blessings the app offers, such as the Quran Planner for daily recitation, the diverse reciters for audio, or the topic‑explorer to deepen your understanding; setting a modest reading goal can further enrich your ibādah. Should you have any ideas for improvement, please submit them at feedback.gtaf.org so we may enhance the service for all believers. May Allah accept our efforts and increase you in His blessings. BarakAllahu feekum."
Its so good for muslim communities,"[{'aspect': 'muslim', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app. We are humbled to hear that you find it beneficial for the Muslim community, and we pray that it continues to be a source of ease and blessing in your worship and daily life.  

If you ever have ideas for new features, localized content, or any improvements that could further serve the Ummah, please let us know by submitting your feedback at feedback.gtaf.org. May Allah accept our efforts to serve you and all believers, and may He increase the barakah of this app in your hearts. BarakAllahu feekum."
"Excellent, loved this app. Very useful. Thank you so much.","[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; it brings us great joy to know that you find it excellent and useful, Al‑hamdulillah. Your kind words encourage us to continue serving the Ummah with a tool that helps deepen our connection to the Qur’an and the Sunnah.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, various reciter options, or the topic‑explorer to enrich your ibādah even further. Should you think of any enhancements or have questions, please feel free to submit them at feedback.gtaf.org so we can keep improving for the benefit of all believers. May Allah accept our efforts and bless you in your continued Qur’anic journey. BarakAllahu feekum."
The best one in the playstore and appstore and mac,"[{'aspect': 'playstore', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful experience with the app; it brings us great joy to know that you find it excellent and useful, Al‑hamdulillah. Your kind words encourage us to continue serving the Ummah with a tool that helps deepen our connection to the Qur’an and the Sunnah.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, various reciter options, or the topic‑explorer to enrich your ibādah even further. Should you think of any enhancements or have questions, please feel free to submit them at feedback.gtaf.org so we can keep improving for the benefit of all believers. May Allah accept our efforts and bless you in your continued Qur’anic journey. BarakAllahu feekum."
The best one in the playstore and appstore and mac,"[{'aspect': 'playstore', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your wonderful feedback and for recognizing our app as the best on the Play Store, App Store, and Mac. Your kind words encourage us to keep serving the Ummah with a reliable and enriching Quran experience.  

If you have a moment, we invite you to explore additional features such as the Quran Planner, audio recitations by many beloved Qaris, and the deep‑search tools that help you connect even more intimately with the Qur’an. Should you think of any improvement or wish to suggest new functionalities, please submit your thoughts at **feedback.gtaf.org** so we can continue to enhance the service for all believers.  

May Allah accept our efforts and your praise, and may He bless you with consistent benefit from the Qur’an. BarakAllahu feekum."
So good ......Apps....I hope you will gift us this type of apps...Inshaallah.....May Allah bless you...,"[{'aspect': 'Apps', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your kind words about the app. We are delighted to hear that you find it beneficial, and we pray that Allah continues to bless you and grant you ease in using the app for His remembrance.

If you have any ideas for new tools or topics you would love to see, please let us know by submitting your thoughts at feedback.gtaf.org so we can keep improving this service for the Ummah. May Allah accept our efforts and grant you abundant reward. BarakAllahu feekum."
I love this app so much Alhamdulillah praise be to Allah may Allah grant all of you jannah for your hardwork this helped me alot,"[{'aspect': 'app', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khair for sharing your heartfelt appreciation; it warms our hearts to know the app has been a source of benefit and blessings for you, Alhamdulillah. Your kind words encourage us to continue serving the Ummah with sincere effort and humility.

To keep gaining barakah, we invite you to explore additional tools such as the Quran Planner, audio recitations, and topic‑based searches, which can further enrich your daily ibādah. If you have any ideas for new content or wish to share more feedback, please submit them at feedback.gtaf.org so we can consider them in future updates. May Allah accept our intentions and grant you steadfastness in His Book. BarakAllahu feekum."
I love how useful this app is and how you guys replies to all reviews.  Excellent app with great support. JazakAllah khairan.,"[{'aspect': 'app', 'polarity': 'Positive'}, {'aspect': 'support', 'polarity': 'Positive'}]","Assalamu Alaikum wa Rahmatullahi wa Barakatuh. JazakAllahu Khairan for sharing your wonderful experience; we are humbled by your kind words about the app’s usefulness and our support team’s responsiveness. Your encouragement inspires us to continue serving the Ummah with tools that bring us closer to the Qur’an and to one another.  

If you ever have ideas for new features or notice anything that could be improved, please feel free to submit your thoughts at feedback.gtaf.org so we can consider them in future updates. May Allah accept your good deeds and keep you steadfast on the path of knowledge. BarakAllahu feekum."
