Review,Sentiment,Probabilities
Thanks for helping me read,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Fantastic,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God reward you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I don't really like this application because it doesn't have an Indonesian translator.,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
"Jazakallah, good app",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great, worth downloading",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MashaAllah bohat mufeed ap hy,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's a nice and friendly used App.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Masha Allah very good app I can read it with surah para and and every surah and para define with pages no and rukh that's amazing I suggest to everyone install,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The best Al Quran App.! in my opinion.My consideration is based on the various features it provides.Love the reciting by Husary(the mualim version)helps alot in pronounciation.The colored arabic letters helps in affirming the type of tajwid to be applied.The ability to create folders and notes really helps alot.These are some of the features edging this app from the others.Kudos Greentech.Only Allah can reward your team for the good job.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Excellent, God bless you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I am so much more excited with this app because I achieved a lot of things from it especially the translation part of it. And like wise the way it's was been program and as it's contain a lot of tangible things, but the little problem it has is that when opening it, it will keep on stop. So it will be very excited if that problem is well considered and solved.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Gives me a better understanding of Quran,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very cool,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very nice app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Beautiful, may God bless you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The best application for those looking for the virtual Quran...,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very very useful,All Maighty ALLAH may bless you,Thanks.I have not tried offline yet.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app... In Sha Allah will help us all learn the Quran. Incredibly convenient features and excellent learning will be limited to you. Start studying the Quran and you will understand everything.. Thank you for the opportunities 👍👍👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Nice,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
So nice,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent apps. Subhanallah Alhamdulillah.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Amazing app!!!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
An excellent program and we hope for more success and development,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"MashaAllah, the Qur'an is very good",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah it's good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
That's cool. Add the Uzbek language to the translation of the words.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah Amazing.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very useful ❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Nice app very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Beautifull app for every muslim,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's amazing! MashaAllah! I really love this app. I recite everyday with this app. But it would be great if you could add some features. 1. Highlight the last ayat we recited and also highlight some of ayat that we recite daily basis. 2. tajwed with example of sounds recitation from quran I mean what is the easiest way to make people understand. You can add tajweed where you colored the letter to long press to see the tajweed details. Jazakallah who developed such a beautiful app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The writing is not clear,negative,"{'positive': 0.0, 'neutral': 0.0001, 'negative': 0.9999}"
"It is a very nice application, I can read whenever I want, however I want. Also, it has word-by-word translations, but the interpretations are a bit short :) thank you<333",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God's peace be upon those who deliver the right as it is.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God reward you and place it in the balance of your good deeds,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Mashallah excellent app. If you can add more Qari one can select of his choice.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is wonderful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah I find this aap very usefull for learning the meaning in my own language,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
No complain. Its nice application.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very interesting,positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0}"
Very helpful in many ways 1..word to word translation 2..root word 3..reminder,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best app ever,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best ever Mobile Quran ap,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
thanks may Allah reward you for this app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
amazing app. Better than many paid ones,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Fit my likeness of how it been made for learning,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
JazakaALLAHOU hairan,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Thank you very much...,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Better than any other apps.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
so good my brothers,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very smart and easy to read, I feel good to understand the meaning of whole Al Quran with this application.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
best and satisfied ❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"It has taken an incomparable position among all the apps of Play Store. It is surely Allah's mercy. I know, it has many features to understand the Qura but I expect more form it.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It s the best islamic app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
A very good application. Quran Tafseer is available very well from here.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Glory be to Allah, a very complete Qur'an application, very helpful to better understand the content of the Qur'an",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This app is good for reading offline. This app does not show ads.,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
"It's a wonderful experience to read the Holy Quran from this app. Easily we can read it off line,select word by word translation, their root words and tafseer as well.stay blessed and happy learning through this app💫",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Waiting for Tafsir as Sadi in English,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Wonderful app!!!! Jazakallahu khair,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Wow masha allah this app is amazing,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good and interesting 👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great App bu,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"MA SHA ALLAH,ALLAH VAS NAGRADIO",positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0001}"
This is very handy and one of the best online Qur'an site.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Actually very helpful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Prominent,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
I'm really happy to have this apk... it's very helpful so you don't get bored... because there are various types of mushaf,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The best thing,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is an invaluable app. I use it everyday. And it is user friendly.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Prominent,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
Its good for daily read,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
really complete,negative,"{'positive': 0.0875, 'neutral': 0.0001, 'negative': 0.9124}"
May ALLAH SWT GIVE blessings to everyone,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Stars talking,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
The application is very good and complete.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Long time i used this app.. Now it's not reciting with the ayah.. Don't know y😒,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great....,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I really like this Al-Qur'an, there are interpretations that make it easy for me to find the meaning.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is an awesome app. and usefull too.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Why shouldn't I put 5 stars?,negative,"{'positive': 0.0, 'neutral': 0.0001, 'negative': 0.9999}"
❤️,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is very useful app to understand the meaning of Qur'an l,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good. May God bless you all and reward you with all the best. I liked it. Thank you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"I installed various applications, but this was the one I liked the most. You can really adjust everything as you wish.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Thank you, this app is very helpful in understanding the Qur'an",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
AlhmdulilAllah bht acha hn bht beneficial,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Easy to read,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Masha allah, good app",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God reward you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Fantastic App,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Allahumdullilah best experience,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"May God bless their work, and I highly recommend it. It is very, very useful",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
A very great application that annoys me about one thing: the explanation or the reason for the revelation of the verses. It is supposed to be on the same page. I can select a word or verse on some of them and the explanation for it will appear for me.,negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9999}"
Masha Allah this app is so helpful and easy to read and understand.I can easily read. jazakallahu khair.May Allah tala grant you all jannatul firdaus,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Very clear and accurate tafsir and user friendly UI. Tried a few apps, this works the best. Although prefer the actual book but this works as a good alternative when no Al Quran available.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best Quran app ever,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Highly recommended, has lots of features to make it easier to use, and setup is easy and not too complicated",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
👌👌👌,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"This Quranic app is exceptional, it's excellent and love it so much, may Allah bless the developers.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Cakeppp, you need to have this software",neutral,"{'positive': 0.0222, 'neutral': 0.5048, 'negative': 0.4731}"
Alhamdulillah very helpful in understanding the Qur'an and easy to find the letter. 👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is the app what I was looking for since long. It's huge! Loved it.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Nice App,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good let him down,negative,"{'positive': 0.0001, 'neutral': 0.0, 'negative': 0.9998}"
"Excellent application, excellent, excellent, excellent, excellent, excellent.. I want to translate the Holy Quran into Arabic, and the interpretation should also be Arabic. How?",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent 👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good apps.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The most beautiful proposal I know. Thanks to the developers.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is great I love it,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
The app is quite nice owing to i ever not come across any Quranic app better than this.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
One of the best app I have ever come across. May God reward you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
gob,negative,"{'positive': 0.0002, 'neutral': 0.0, 'negative': 0.9998}"
very good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
One of the best apps I've ever used,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah..,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Assalaamu alaykum wa rahmatullaahi wa barakaatuh perfect app so far. I use this app with my children. One feature you can add is an AI tool for memorization.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Nice apps,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's a very good app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Super pridlogenia,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good with good transalations,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Top,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah. A very good and useful app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Wow....... Best of its kind. So easy to learn Quran,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Most helpful app with soothing recitation,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good mashallah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I really like this app and I wish Allah almighty will let this app reach were you the owners want it to reach,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
one true love,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best😊🙏🙏💯 the translation are clear and in understandable English and the fact that they translate word per word it's so nice 👍 and the Arabic......😶this app 👌,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdhulillah,, I love this app because it reminds me of my daily food for the soul.Mashaallah its amazing🌹.I think rating it at four is good",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
amazing app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
very well. Thank You,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It is a very good App. I would like to see more tafseers. It will then be excellent.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MashaAllah the best App. I like the way Tafsir and the way explained by word.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"A wonderful application, I recommend downloading it ❤️‍🩹",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best book I have 🤳,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
MashaAllah....,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Al Quran is very complete, easy to learn and understand.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is lovely and best among the others,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best Qur'an application,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
All you need,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
"Very nice Quran up When I saw that this app was Bangladeshi, it was even better🥰",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Wow!,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Illuminating,neutral,"{'positive': 0.0001, 'neutral': 0.9998, 'negative': 0.0}"
Great app to learn the pronunciation.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
masha allah excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah i downloaded this beautiful quran app.... And may Allah bless the developer here and hereafter..and also the person who shared this app with me... It's everything a person needs... Tafseer, Tajweed, Reciting, Fonts i mean this app has got everything, except the ads❤❤ (that annoy too much).....and i recommend everyone to download it...",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Thank you ❤️ Mashallah, a very beautiful programme",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Clean but I can't put the tafsir word by word in French so I can't be sad 😔,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's a really wonderful app with multiple reciters,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Useful n helpful n appreciate d efforts put in by u all. Easy to follow n referencing,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good app. Everyone download this app Zajakallohu Khairan,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I am fine to get this Quran,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"This app is so glamorous , by the obviously it contains The Holy Quran , it is so easy to use this app I would suggest , don't give a second thought just click on download... Remember :- ""Allah is the most merciful "" start your day with Quran surah Yaseen and end it with Quran surah Mulk and the last 2 ayats of surah baqarah.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Mashallah I like the audio part mostly,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah, this app is helpful and easy to use, suitable for use when outside the area...",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very good app.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"May God reward you, excellent, God willing",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great app Hope for more features,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
❤️🧡,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It is an excellent app 😁,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I recommend this app very useful,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Mashallah oshadharon,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Had wonderful experience clear fonts word to word explanation and you get a short tafseer as well serves the purpose and jazak Allah khair for making this app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Excellent, it only requires the Internet at first to download the Qur’an to any reader you want, then after that you do not need the Internet, but the font is beautiful and there are no annoying ads. May God bless you and bless you.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
top,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I Love Quran ❤️🥰🫶,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Alhamdulillah, very well.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It has problems with word to word translation. Only few words in a verse show word to word translation. Please fix this,negative,"{'positive': 0.0, 'neutral': 0.0, 'negative': 0.9999}"
beautiful,positive,"{'positive': 0.9999, 'neutral': 0.0, 'negative': 0.0}"
"I have not take so much time using this app but I found it to be very helpful and useful, also how the search is working, if you type a word, the whole verses with that word will appear, then you select the verse you are looking for, and the translation and explanation of it is very interesting, only thing I can suggest is that, the audio should be listed offline after downloaded, but it will only be listed online, that is the only suggestion that I have, but the app is very nice and useful.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
excellent application Practical and very easy to use Allows you to learn the QURAN by repetition following a wise teacher.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you 🙏,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best quran app out there.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Allahumma barikkkk... Alhamdulillah BEST APP FOR BEGINNERS OF TAFSEER AND ARABIC WORDS WITH ITS ROOTS,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very helpful mashAllah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Better understand the contents of the letter,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
Including the applications that I open most often 👍👍👍,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is great work I love it Islam is the best now I am able to understand it with my own language thanks,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
💗💗,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"May God bless you and bless your efforts and put them in the balance of your good deeds. Apply the values ​​of God, bless",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Very perfect,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"The best app for anyone whose first language isn't Arabic, it translates every ayah in ur desired language. It is so helpful to read and understand Quran like never before. JazaakAllah khair to the developers off this app. A must-have for anyone who wants to understand the meaning of every ayah.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"A wonderful and distinctive application, may God reward you",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
I like the app,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This is the best Android application for Quran. Thanks to the Green Tech Team.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Appreciating and correct saying,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Good luck, God willing",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Nice,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
May God put it in the balance of your good deeds,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"This is such a beautiful version of the Qur'an, it has made it very easy for me to learn the Qur'an, Ma sha Allah",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Great... The composition is easy to read,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It’s very useful... I hope everyone understand very willingly by this apps..I think this app is enough to know Quran well. I got a lot of inspiration to learn the tafsee of the Qur'an. These apps are helping me to understand and learn. Thanks to those who are managing this apps.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"Great, recitefull, clear, and inspirational.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"MashaAllah, it make me so excited.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Good apps,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"A very good app with no ads which makes its excellent source for Quran Al Majeed Recitation,tafsir,meanings,translation a very enlightening experience.",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's just the best 💫,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
A part of peircing light of guidance,neutral,"{'positive': 0.0001, 'neutral': 0.9999, 'negative': 0.0}"
May God reward you with goodness in this world and the hereafter. May God bless you,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Above excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Hopefully better future..,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
"very helpful,",positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This app is very interesting,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Excellent aap. I use it daily. Very dependable and user friendly. No issues or bugs. Highly recommended.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's a nice app will recommend everyone to have it.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Best app ever to use,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
It's very easy to use. It's the most simplest Quran tafseer app that I have ever seen,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Prominent,neutral,"{'positive': 0.0002, 'neutral': 0.9998, 'negative': 0.0}"
Excellent,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
This app is good,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Simply love it,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
Alhamdulillah,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
God bless,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
A very good app. You can also use the app for memorization. It also has different Tafsir and there is also a word by word translation. I would highly recommend it.,positive,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0.0}"
